"REF_DATE","GEO","DGUID","Sector","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","41611615","","","","0"
"2021-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42232892","","","","0"
"2021-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42532504","","","","0"
"2021-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42846725","","","","0"
"2021-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44255230","","","","0"
"2021-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44520859","","","","0"
"2021-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44818422","","","","0"
"2021-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","45917012","","","","0"
"2022-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44607571","","","","0"
"2022-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","45694508","","","","0"
"2022-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46620271","","","","0"
"2022-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46346750","","","","0"
"2022-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46289543","","","","0"
"2022-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","47431991","","","","0"
"2022-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46872914","","","","0"
"2022-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46715909","","","","0"
"2022-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48426120","","","","0"
"2022-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","47555083","","","","0"
"2022-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48080851","","","","0"
"2022-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","49594899","","","","0"
"2023-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48150856","","","","0"
"2023-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48405722","","","","0"
"2023-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48970481","","","","0"
"2018-01","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","31568986","","","","0"
"2018-02","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32176948","","","","0"
"2018-03","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32272864","","","","0"
"2018-04","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32033486","","","","0"
"2018-05","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32627278","","","","0"
"2018-06","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33487538","","","","0"
"2018-07","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32298666","","","","0"
"2018-08","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32469416","","","","0"
"2018-09","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33022850","","","","0"
"2018-10","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33012196","","","","0"
"2018-11","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33535633","","","","0"
"2018-12","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34298193","","","","0"
"2019-01","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32886568","","","","0"
"2019-02","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33169870","","","","0"
"2019-03","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33524731","","","","0"
"2019-04","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33521707","","","","0"
"2019-05","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34245835","","","","0"
"2019-06","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34758024","","","","0"
"2019-07","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34163659","","","","0"
"2019-08","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34137982","","","","0"
"2019-09","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34754638","","","","0"
"2019-10","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34706182","","","","0"
"2019-11","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","35125345","","","","0"
"2019-12","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36171713","","","","0"
"2020-01","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34754296","","","","0"
"2020-02","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34866306","","","","0"
"2020-03","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33461504","","","","0"
"2020-04","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","31322777","","","","0"
"2020-05","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","31326687","","","","0"
"2020-06","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32767261","","","","0"
"2020-07","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33434611","","","","0"
"2020-08","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","34046363","","","","0"
"2020-09","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","35283274","","","","0"
"2020-10","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","35311027","","","","0"
"2020-11","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","35798294","","","","0"
"2020-12","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36843208","","","","0"
"2021-01","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","35562288","","","","0"
"2021-02","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36228190","","","","0"
"2021-03","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36774343","","","","0"
"2021-04","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36258576","","","","0"
"2021-05","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36162289","","","","0"
"2021-06","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36712699","","","","0"
"2021-07","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","36980364","","","","0"
"2021-08","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","37259504","","","","0"
"2021-09","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","38486747","","","","0"
"2021-10","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","38723753","","","","0"
